Predictors,Lexical,Lex_lower,Lex_upper,Syntactic,Syn_lower,Syn_upper
ASD,-0.19,-0.37,0.01,0.02,-0.15,0.18
Age ,-0.05,-0.07,-0.03,-0.06,-0.08,-0.04
Age * ASD,0.06,0.03,0.07,0.03,0,0.07
Vineland Socialization (VS),0.04,-0.17,0.22,0.04,-0.11,0.2
Mullen Exp. Lang. (MEL),-0.02,-0.16,0.13,-0.06,-0.1,-0.02
