Speaker,Utterance,Cosine similarity
CHI,I want the new balloon,0.3779645
MOT,there you go ready say thank you Rose,0
CHI,thank you Rose your chips are empty,0.5270463
MOT,Kevin look look what I’m gonna do,0.1005038
