Predictors,Lexical,Syntactic
ASD,0.09,0.16
Age ,-0.2,-0.2
Age * ASD,0.13,0.08
Vineland Socialization (VS),0.57,0.75
VS *ASD,-0.37,-0.7
VS * Age,-0.13,-0.16
VS * ASD * Age,0,0
Mullen Exp. Lang. (MEL),-0.56,-0.47
MEL * ASD,0.41,0
MEL * Age,0.11,0
MEL * ASD * Age ,-0.19,0
