Predictors,Beta,lower,upper,Type
ASD,0.09,-0.31,0.49,Lexical
Age ,0.15,0.1,0.2,Lexical
Age * ASD,-0.05,-0.13,0.03,Lexical
Vineland Socialization (VS),0.43,0.04,0.83,Lexical
Mullen Ex. Lang. (MEL),0.28,0.01,0.55,Lexical
ASD,-0.16,-0.64,0.31,Syntactic
Age ,0.2,0.15,0.25,Syntactic
Age * ASD,-0.08,-0.16,0.01,Syntactic
Vineland Socialization (VS),0.17,-0.26,0.63,Syntactic
Mullen Ex. Lang. (MEL),0.36,0.26,0.47,Syntactic
