Predictors,Lexical,Syntactic
ASD,0.09 (-0.57 0.71),0.16 (-0.31 0.64)
Visit ,-0.20 (-0.29 -0.10),-0.20 (-0.25 -0.15)
Visit * ASD,0.13 (-0.00 0.28),0.08 (0.01 0.16)
Vineland Socialization (VS),0.57 (-0.22 1.32),0.75 (-0.16 1.62)
VS *ASD,-0.37 (-1.20 0.47),-0.70 (-1.59 0.20)
VS * Visit,-0.13 (-0.23 -0.03),-0.16 (-0.30 -0.02)
VS * ASD * Visit,NI,NI
Mullen Expressive Language (MEL),-0.56 (-1.04 -0.05),-0.47 (-0.69 -0.24)
MEL * ASD,0.41 (-0.25 1.03),NI
MEL * Visit,0.11 (-0.01 0.22),NI
MEL * ASD * Visit ,-0.19 (-0.32 -0.03),NI
