Predictors,Lexical,Syntactic
ASD,-0.19,0.02
Age ,-0.05,-0.06
Age * ASD,0.06,0.03
Vineland Socialization (VS),0.04,0.04
VS *ASD,0,-0.56
VS * Age,-0.01,0.03
VS * ASD * Age,0,0
Mullen Exp. Lang. (MEL),-0.02,-0.06
MEL * ASD,0.2,0
MEL * Age,0,0
MEL * ASD * Age,-0.04,0
